Status,Paper.code,Paper.number,Screening.set,Extraction.set,Paper,Publication.year,Title,DOI,Species.latin,Family,Class,Phylum,Sex.exposed,Fertilisation.mode,Agricultural.importance,Lab.or.field,Animal.origin,Stressor.variation,Habitat,Country.of.origin,Continent.of.origin,Ocean.sea.of.origin,Exposure.duration,Life.stage.of.animal,Lowest.temp.below.10.C.,Constant.or.fluctuating.,Acclimated.,Effect.size.code,Experiment.code,Trait.category,Trait,Sex,Rearing.temperature,es,v,diff,reftemp,treattemp
Good,HUM33,2027,39,24A,"Beckett & Evans, 1994",1994,"THE DEMOGRAPHY OF ORYZAEPHILUS-SURINAMENSIS (L) (COLEOPTERA, SILVANIDAE) ON KIBBLED WHEAT",10.1016/0022-474X(94)90190-2,Oryzaephilus surinamensis,Silvanidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,Yes (>4 days),HUM33_5,HUM33B,Reproduction,Female age-specific fertility (mx),Female,NA,0.43281185,0.053445305,-5,25,20
Good,HUM33,2027,39,24A,"Beckett & Evans, 1994",1994,"THE DEMOGRAPHY OF ORYZAEPHILUS-SURINAMENSIS (L) (COLEOPTERA, SILVANIDAE) ON KIBBLED WHEAT",10.1016/0022-474X(94)90190-2,Oryzaephilus surinamensis,Silvanidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,Yes (>4 days),HUM33_2,HUM33B,Longevity,Female survival (lx),Female,NA,0.410278036,0.053337362,-5,25,20
Good,OSM125,2227,43,19C,Hall & Burns,2001,Effects of salinity and temperature on survival and reproduction of Boeckella hamata (Copepoda : Calanoida) from a periodically brackish lake,10.1093/plankt/23.1.97,Boeckella hamata,Centropagidae,Crustacea,Arthropoda,Both sexes,Internal,No,Lab,Wild-caught,Experimental,Aquatic,USA,North America,NA,More than 5 days,Adult,No,Constant,No,OSM125_1,OSM125A,Survival,survived after 20 days exposure,Female,15,0,0,0,10,10
Good,TEMP1683,1462,28,13A,"RAGA, I.et al.",1988,"EFFECTS OF TEMPERATURE ON ADULT LONGEVITY, FERTILITY, AND RATE OF TRANS-OVARIAL PASSAGE OF RICE STRIPE VIRUS IN THE SMALL BROWN PLANTHOPPER, LAODELPHAX-STRIALUS FALLEN (HOMOPTERA, DELPHACIDAE",10.1303/aez.23.67,Laodelphax striatellus,Delphacidae,Insecta,Arthropoda,Both sexes,Internal,Other,Lab,Wild-caught,Experimental,Terrestrial,Japan,Asia,NA,More than 5 days,Adult,No,Constant,No,TEMP1683_4,TEMP1683A,Reproduction,Proportion females laying fertile eggs,Female,25,-0.085749293,0.052679954,-7.5,25,17.5
Good,TEMP1781,1549,29,13B,"Rukke, B. A.et al.",2018,"Temperature stress deteriorates bed bug (Cimex lectularius) populations through decreased survival, fecundity and offspring success",10.1371/journal.pone.0193788,Cimex lectularius,Cimicidae,Insecta,Arthropoda,Both sexes,Internal,No,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,TEMP1781_2,TEMP1781A,Survival,Proportion adults alive day 21,Both sexes,22,0,0,0,22,22
Good,TEMP1818,1581,30,14A,"Sanchez, J. A.; Lacasa, A.",2002,Modelling population dynamics of Orius laevigatus and O-albidipennis (Hemiptera : Anthocoridae) to optimize their use as biological control agents of Frankliniella occidentalis (Thysanoptera : Thripidae),10.1079/BER2001136,Orius laevigatus,Anthocoridae,Insecta,Arthropoda,Both sexes,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,TEMP1818_4,TEMP1818A,Reproduction,percentage of pairs producing progeny,Both sexes,23,-0.224514962,0.06390812,-5,25,20
Good,TEMP1818,1581,30,14A,"Sanchez, J. A.; Lacasa, A.",2002,Modelling population dynamics of Orius laevigatus and O-albidipennis (Hemiptera : Anthocoridae) to optimize their use as biological control agents of Frankliniella occidentalis (Thysanoptera : Thripidae),10.1079/BER2001136,Orius albidipennis,Anthocoridae,Insecta,Arthropoda,Both sexes,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,TEMP1818_8,TEMP1818B,Reproduction,percentage of pairs producing progeny,Both sexes,23,2.33E-16,0.066964286,-5,25,20
Good,TEMP1819,1582,30,14A,"Sanchez, J. A.et al.",2009,"Life history parameters for Nesidiocoris tenuis (Reuter) (Het., Miridae) under different temperature regimes",10.1111/j.1439-0418.2008.01342.x,Nesidiocoris tenuis,Miridae,Insecta,Arthropoda,Female,Internal,Pest,Lab,Wild-caught,Experimental,Terrestrial,Spain,Europe,NA,Mix,Mix,No,Constant,No,TEMP1819_2,TEMP1819A,Survival,Survival,Female,25,1.040064067,0.090243295,-10,25,15
Good,TEMP1823,1586,30,14B,"Sanpradit, P.et al.",2020,Temperature and concentration of ZnO particles affect life history traits and oxidative stress in Daphnia magna,10.1016/j.aquatox.2020.105517,Daphnia magna,Daphniidae,Crustacea,Arthropoda,Female,Internal,No,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,TEMP1823_3,TEMP1823A,Survival,percentage of females surviving,Female,23,0,0,0,23,23
Good,TEMP1865,1624,31,14B,Seager 1991,1991,EFFECTS OF HIGH-TEMPERATURE STRESS ON ADULTS AND EGGS OF DROSOPHILA-ROBUSTA AND D-TRIPUNCTATA,10.2307/2426156,Drosophila tripunctata,Drosophilidae,Insecta,Arthropoda,Female,Internal,No,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,TEMP1865_7,TEMP1865B,Reproduction,% fertile,Female,20,0,0,0,20,20
Good,TEMP1865,1624,31,14B,Seager 1991,1991,EFFECTS OF HIGH-TEMPERATURE STRESS ON ADULTS AND EGGS OF DROSOPHILA-ROBUSTA AND D-TRIPUNCTATA,10.2307/2426156,Drosophila robusta,Drosophilidae,Insecta,Arthropoda,Female,Internal,No,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,TEMP1865_3,TEMP1865A,Reproduction,% fertile,Female,20,0,0,0,20,20
Good,TEMP1865,1624,31,14B,Seager 1991,1991,EFFECTS OF HIGH-TEMPERATURE STRESS ON ADULTS AND EGGS OF DROSOPHILA-ROBUSTA AND D-TRIPUNCTATA,10.2307/2426156,Drosophila tripunctata,Drosophilidae,Insecta,Arthropoda,Female,Internal,No,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,TEMP1865_5,TEMP1865B,Survival,survival,Female,20,0,0,0,27,27
Good,TEMP1865,1624,31,14B,Seager 1991,1991,EFFECTS OF HIGH-TEMPERATURE STRESS ON ADULTS AND EGGS OF DROSOPHILA-ROBUSTA AND D-TRIPUNCTATA,10.2307/2426156,Drosophila robusta,Drosophilidae,Insecta,Arthropoda,Female,Internal,No,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,TEMP1865_1,TEMP1865A,Survival,survival,Female,20,0,0,0,27,27
Good,TEMP2016,1750,34,C,"Sutter, A.et al.",2019,Flexible polyandry in female flies is an adaptive response to infertile males,10.1093/beheco/arz140,Drosophila pseudoobscura,Drosophilidae,Insecta,Arthropoda,Males only,Internal,No,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,1 to 5 days,Adult,No,Constant,No,TEMP2016_2,TEMP2016_B,Survival,Survival %,Male,23,0,0,0,23,23
Good,TEMP2016,1750,34,C,"Sutter, A.et al.",2019,Flexible polyandry in female flies is an adaptive response to infertile males,10.1093/beheco/arz140,Drosophila pseudoobscura,Drosophilidae,Insecta,Arthropoda,Males only,Internal,No,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,1 to 5 days,Adult,No,Constant,No,TEMP2016_4,TEMP2016_D,Survival,Survival %,Male,23,0,0,0,23,23
Good,TEMP2057,1784,34,15A,"Throne, J. E.; Weaver, D. K. m. o.",2013,Impact of temperature and relative humidity on life history parameters of adult Sitotroga cerealella (Lepidoptera: Gelechiidae,10.1016/j.jspr.2013.10.003,Sitotroga cerealella,Gelechiidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,TEMP2057_2,TEMP2057A,Reproduction,Proportion fertile females,Female,25,-1.257474964,0.39921847,-15,25,10
Good,TEMP2093,1813,35,15A,"Ugine, T. A.",2011,"The effect of temperature and exposure to Beauveria bassiana on tarnished plant bug Lygus lineolaris (Heteroptera: Miridae) population dynamics, and the broader implications of treating insects with entomopathogenic fungi over a range of temperatures",10.1016/j.biocontrol.2011.08.004,Lygus lineolaris,Miridae,Insecta,Arthropoda,Female,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,TEMP2093_2,TEMP2093A,Survival,Survival,Female,27,0.598202306,0.072727214,-7,25,18
Good,TEMP2123,1841,35,15A,"Velasco, L. R. I.; Walter, G. H.",1993,"INFLUENCE OF TEMPERATURE ON SURVIVAL AND REPRODUCTION OF NEZARA-VIRIDULA (L) (HEMIPTERA, PENTATOMIDAE)",10.1111/j.1440-6055.1993.tb00578.x,Nezara viridula,Pentatomidae,Insecta,Arthropoda,Female,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Fluctuating,No,TEMP2123_2,TEMP2123A,Survival,Survival,Female,NA,0.419313935,0.204395604,-10,25,15
Good,TEMP2160,1870,36,17B,"Waqas, M. S.et al. (b)",2020,Lethal and sublethal effect of heat shock on Phenacoccus solenopsis Tinsley (Hemiptera: Pseudococcidae),10.1016/j.jtherbio.2020.102679,Phenacoccus solenopsis,Pseudococcidae,Insecta,Arthropoda,Female,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,Less than 24 hrs,Adult,No,Constant,No,TEMP2160_1,TEMP2160A,Survival,Survival,Female,30,0,0,0,40.63,40.63
Good,TEMP346,364,6,NA,"Chang, Y.et al.",1996,"Reproduction and quality of F-1 offspring in Chrysoperla carnea: Differential influence of quiescence, artificially-induced diapause, and natural diapause",10.1016/0022-1910(96)00010-8,Chrysoperla carnea,Chrysopidae,Insecta,Arthropoda,Both Sexes,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,more than 5 days,Adults,Yes,constant,yes(mix),TEMP346_2,TEMP346_A,Survival,survival,Female,24,0.09828082,0.04260457,-5,10,5
Good,TEMP378,394,6,4A,"Chi, B. J.et al.",2016,"Temperature-dependent demography of Agriphila aeneociliella (Lepidoptera: Crambidae), a new insect pest of wheat in China",10.1111/afe.12151,Agriphila aeneociliella,Crambidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,TEMP378_2,TEMP378A,Survival,Survival rate,Both sexes,23,0.19178735,0.022324396,-5,23,18
Good,TEMP384,399,6,4A,"Chiu, M. C.et al.",2019,"Effects of experimental warming on wild and transgenic oriental fruit fly, Bactrocera dorsalis",10.1111/jen.12672,Bactrocera dorsalis,Tephritidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Fluctuating,No,TEMP384_1,TEMP384A,Survival,Survival rate,Both sexes,28,0,0,0,28.6,28.6
Good,TEMP587,546,9,4C,"Foerster, L. A.; Butnariu, A. R.",2004,"Development, reproduction, and longevity of Telenomus cyamophylax, egg parasitoid of the velvetbean caterpillar Anticarsia gemmatalis, in relation to temperature",10.1016/S1049-9644(03)00133-6,Telenomus cyamophylax,Platygastridae,Insecta,Arthropoda,Both sexes,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,TEMP587_3,TEMP587A,Reproduction,Number of offspring,Both sexes,25,-0.318526115,0.101268236,-10,25,15
Good,TEMP791,717,13,5C,"Hoang, T.et al.",2002,"Maturation and spawning performance of pond-reared Penaeus merguiensis in different combinations of temperature, light intensity and photoperiod",10.1046/j.1365-2109.2002.00787.x,Penaeus merguiensis,Penaeidae,Crustacea,Arthropoda,Both sexes,Internal,No,Lab,Farmed,Experimental,Aquatic,Australia,Australasia,NA,More than 5 days,Adult,No,Constant,No,TEMP791_3,TEMP791A,Survival,Prop. surviving (both sexes),Both sexes,26.8,0,0.666666667,-4,26.9,22.9
Good,TEMP791,717,13,5C,"Hoang, T.et al.",2002,"Maturation and spawning performance of pond-reared Penaeus merguiensis in different combinations of temperature, light intensity and photoperiod",10.1046/j.1365-2109.2002.00787.x,Penaeus merguiensis,Penaeidae,Crustacea,Arthropoda,Both sexes,Internal,No,Lab,Farmed,Experimental,Aquatic,Australia,Australasia,NA,More than 5 days,Adult,No,Constant,No,TEMP791_4,TEMP791B,Survival,Prop. surviving (both sexes),Both sexes,26.8,4.04E-16,0.666666667,-4,26.9,22.9
Good,TEMP791,717,13,5C,"Hoang, T.et al.",2002,"Maturation and spawning performance of pond-reared Penaeus merguiensis in different combinations of temperature, light intensity and photoperiod",10.1046/j.1365-2109.2002.00787.x,Penaeus merguiensis,Penaeidae,Crustacea,Arthropoda,Both sexes,Internal,No,Lab,Farmed,Experimental,Aquatic,Australia,Australasia,NA,More than 5 days,Adult,No,Constant,No,TEMP791_5,TEMP791C,Survival,Prop. surviving (both sexes),Both sexes,26.8,2.03E-16,0.666666667,-4,27,23
Good,TEMP906,798,14,6C,"Jeffs, C. T.; Leather, S. R.",2014,"Effects of extreme, fluctuating temperature events on life history traits of the grain aphid, Sitobion avenae",10.1111/eea.12160,Sitobion avenae,Aphididae,Insecta,Arthropoda,Parthenogenetic,NA,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,1 to 5 days,Juvenile,No,Fluctuating,Yes (< 4 days),TEMP906_1,TEMP906A,Survival,Porportion surviving 4 days of temperature treatment plus 2 additional days at control temperature,Parthenogenetic,20,-0.156022304,0.154314288,-10,20,10
Good,TEMP915,800,14,20B,"Jimenez-Melero, R.et al.",2012,"Effect of temperature, food and individual variability on the embryonic development time and fecundity of Arctodiaptomus salinus (Copepoda: Calanoida) from a shallow saline pond",10.1007/s10750-012-1014-3,Arctodiaptomus salinus,Diaptomidae,Crustacea,Arthropoda,Both sexes,Internal,No,Lab,Wild-caught,Experimental,Aquatic,Spain,Europe,NA,More than 5 days,Adult,No,Constant,No,TEMP915_1,TEMP915_A,Survival,female survival (%),Female,20,0.737450929,0.116688033,-10,20,10
Good,HUM33,2027,39,24A,"Beckett & Evans, 1994",1994,"THE DEMOGRAPHY OF ORYZAEPHILUS-SURINAMENSIS (L) (COLEOPTERA, SILVANIDAE) ON KIBBLED WHEAT",10.1016/0022-474X(94)90190-2,Oryzaephilus surinamensis,Silvanidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,Yes (>4 days),HUM33_5,HUM33B,Reproduction,Female age-specific fertility (mx),Female,NA,0.516329331,0.053895702,-2.5,25,22.5
Good,HUM33,2027,39,24A,"Beckett & Evans, 1994",1994,"THE DEMOGRAPHY OF ORYZAEPHILUS-SURINAMENSIS (L) (COLEOPTERA, SILVANIDAE) ON KIBBLED WHEAT",10.1016/0022-474X(94)90190-2,Oryzaephilus surinamensis,Silvanidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,Yes (>4 days),HUM33_2,HUM33B,Longevity,Female survival (lx),Female,NA,0.424452146,0.053404587,-2.5,25,22.5
Good,OSM125,2227,43,19C,Hall & Burns,2001,Effects of salinity and temperature on survival and reproduction of Boeckella hamata (Copepoda : Calanoida) from a periodically brackish lake,10.1093/plankt/23.1.97,Boeckella hamata,Centropagidae,Crustacea,Arthropoda,Both sexes,Internal,No,Lab,Wild-caught,Experimental,Aquatic,USA,North America,NA,More than 5 days,Adult,No,Constant,No,OSM125_1,OSM125A,Survival,survived after 20 days exposure,Female,15,-0.417899764,0.291951436,10,10,20
Good,TEMP1683,1462,28,13A,"RAGA, I.et al.",1988,"EFFECTS OF TEMPERATURE ON ADULT LONGEVITY, FERTILITY, AND RATE OF TRANS-OVARIAL PASSAGE OF RICE STRIPE VIRUS IN THE SMALL BROWN PLANTHOPPER, LAODELPHAX-STRIALUS FALLEN (HOMOPTERA, DELPHACIDAE",10.1303/aez.23.67,Laodelphax striatellus,Delphacidae,Insecta,Arthropoda,Both sexes,Internal,Other,Lab,Wild-caught,Experimental,Terrestrial,Japan,Asia,NA,More than 5 days,Adult,No,Constant,No,TEMP1683_4,TEMP1683A,Reproduction,Proportion females laying fertile eggs,Female,25,0,0,0,25,25
Good,TEMP1781,1549,29,13B,"Rukke, B. A.et al.",2018,"Temperature stress deteriorates bed bug (Cimex lectularius) populations through decreased survival, fecundity and offspring success",10.1371/journal.pone.0193788,Cimex lectularius,Cimicidae,Insecta,Arthropoda,Both sexes,Internal,No,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,TEMP1781_2,TEMP1781A,Survival,Proportion adults alive day 21,Both sexes,22,-0.254024499,0.033602202,12,22,34
Good,TEMP1818,1581,30,14A,"Sanchez, J. A.; Lacasa, A.",2002,Modelling population dynamics of Orius laevigatus and O-albidipennis (Hemiptera : Anthocoridae) to optimize their use as biological control agents of Frankliniella occidentalis (Thysanoptera : Thripidae),10.1079/BER2001136,Orius laevigatus,Anthocoridae,Insecta,Arthropoda,Both sexes,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,TEMP1818_4,TEMP1818A,Reproduction,percentage of pairs producing progeny,Both sexes,23,0,0,0,25,25
Good,TEMP1818,1581,30,14A,"Sanchez, J. A.; Lacasa, A.",2002,Modelling population dynamics of Orius laevigatus and O-albidipennis (Hemiptera : Anthocoridae) to optimize their use as biological control agents of Frankliniella occidentalis (Thysanoptera : Thripidae),10.1079/BER2001136,Orius albidipennis,Anthocoridae,Insecta,Arthropoda,Both sexes,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,TEMP1818_8,TEMP1818B,Reproduction,percentage of pairs producing progeny,Both sexes,23,0,0,0,25,25
Good,TEMP1819,1582,30,14A,"Sanchez, J. A.et al.",2009,"Life history parameters for Nesidiocoris tenuis (Reuter) (Het., Miridae) under different temperature regimes",10.1111/j.1439-0418.2008.01342.x,Nesidiocoris tenuis,Miridae,Insecta,Arthropoda,Female,Internal,Pest,Lab,Wild-caught,Experimental,Terrestrial,Spain,Europe,NA,Mix,Mix,No,Constant,No,TEMP1819_2,TEMP1819A,Survival,Survival,Female,25,0.531520273,0.09758329,-5,25,20
Good,TEMP1823,1586,30,14B,"Sanpradit, P.et al.",2020,Temperature and concentration of ZnO particles affect life history traits and oxidative stress in Daphnia magna,10.1016/j.aquatox.2020.105517,Daphnia magna,Daphniidae,Crustacea,Arthropoda,Female,Internal,No,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,TEMP1823_3,TEMP1823A,Survival,percentage of females surviving,Female,23,-0.227977605,0.111832969,5,23,28
Good,TEMP1865,1624,31,14B,Seager 1991,1991,EFFECTS OF HIGH-TEMPERATURE STRESS ON ADULTS AND EGGS OF DROSOPHILA-ROBUSTA AND D-TRIPUNCTATA,10.2307/2426156,Drosophila tripunctata,Drosophilidae,Insecta,Arthropoda,Female,Internal,No,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,TEMP1865_7,TEMP1865B,Reproduction,% fertile,Female,20,-1.005298101,0.1412812,7,20,27
Good,TEMP1865,1624,31,14B,Seager 1991,1991,EFFECTS OF HIGH-TEMPERATURE STRESS ON ADULTS AND EGGS OF DROSOPHILA-ROBUSTA AND D-TRIPUNCTATA,10.2307/2426156,Drosophila robusta,Drosophilidae,Insecta,Arthropoda,Female,Internal,No,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,TEMP1865_3,TEMP1865A,Reproduction,% fertile,Female,20,-1.343146055,0.163400689,7,20,27
Good,TEMP1865,1624,31,14B,Seager 1991,1991,EFFECTS OF HIGH-TEMPERATURE STRESS ON ADULTS AND EGGS OF DROSOPHILA-ROBUSTA AND D-TRIPUNCTATA,10.2307/2426156,Drosophila tripunctata,Drosophilidae,Insecta,Arthropoda,Female,Internal,No,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,TEMP1865_5,TEMP1865B,Survival,survival,Female,20,-0.12662383,0.115590174,3,27,30
Good,TEMP1865,1624,31,14B,Seager 1991,1991,EFFECTS OF HIGH-TEMPERATURE STRESS ON ADULTS AND EGGS OF DROSOPHILA-ROBUSTA AND D-TRIPUNCTATA,10.2307/2426156,Drosophila robusta,Drosophilidae,Insecta,Arthropoda,Female,Internal,No,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,TEMP1865_1,TEMP1865A,Survival,survival,Female,20,-0.528758734,0.118969049,3,27,30
Good,TEMP2016,1750,34,C,"Sutter, A.et al.",2019,Flexible polyandry in female flies is an adaptive response to infertile males,10.1093/beheco/arz140,Drosophila pseudoobscura,Drosophilidae,Insecta,Arthropoda,Males only,Internal,No,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,1 to 5 days,Adult,No,Constant,No,TEMP2016_2,TEMP2016_B,Survival,Survival %,Male,23,-1.058347917,0.00643443,8,23,31
Good,TEMP2016,1750,34,C,"Sutter, A.et al.",2019,Flexible polyandry in female flies is an adaptive response to infertile males,10.1093/beheco/arz140,Drosophila pseudoobscura,Drosophilidae,Insecta,Arthropoda,Males only,Internal,No,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,1 to 5 days,Adult,No,Constant,No,TEMP2016_4,TEMP2016_D,Survival,Survival %,Male,23,-0.055504288,0.005808939,8,23,31
Good,TEMP2057,1784,34,15A,"Throne, J. E.; Weaver, D. K. m. o.",2013,Impact of temperature and relative humidity on life history parameters of adult Sitotroga cerealella (Lepidoptera: Gelechiidae,10.1016/j.jspr.2013.10.003,Sitotroga cerealella,Gelechiidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,TEMP2057_2,TEMP2057A,Reproduction,Proportion fertile females,Female,25,-0.440037426,0.341401372,-10,25,15
Good,TEMP2093,1813,35,15A,"Ugine, T. A.",2011,"The effect of temperature and exposure to Beauveria bassiana on tarnished plant bug Lygus lineolaris (Heteroptera: Miridae) population dynamics, and the broader implications of treating insects with entomopathogenic fungi over a range of temperatures",10.1016/j.biocontrol.2011.08.004,Lygus lineolaris,Miridae,Insecta,Arthropoda,Female,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,TEMP2093_2,TEMP2093A,Survival,Survival,Female,27,0.012885091,0.062031333,-4,25,21
Good,TEMP2123,1841,35,15A,"Velasco, L. R. I.; Walter, G. H.",1993,"INFLUENCE OF TEMPERATURE ON SURVIVAL AND REPRODUCTION OF NEZARA-VIRIDULA (L) (HEMIPTERA, PENTATOMIDAE)",10.1111/j.1440-6055.1993.tb00578.x,Nezara viridula,Pentatomidae,Insecta,Arthropoda,Female,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Fluctuating,No,TEMP2123_2,TEMP2123A,Survival,Survival,Female,NA,0,0,0,25,25
Good,TEMP2160,1870,36,17B,"Waqas, M. S.et al. (b)",2020,Lethal and sublethal effect of heat shock on Phenacoccus solenopsis Tinsley (Hemiptera: Pseudococcidae),10.1016/j.jtherbio.2020.102679,Phenacoccus solenopsis,Pseudococcidae,Insecta,Arthropoda,Female,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,Less than 24 hrs,Adult,No,Constant,No,TEMP2160_1,TEMP2160A,Survival,Survival,Female,30,-0.614524401,0.069813669,3.04,40.63,43.67
Good,TEMP346,364,6,NA,"Chang, Y.et al.",1996,"Reproduction and quality of F-1 offspring in Chrysoperla carnea: Differential influence of quiescence, artificially-induced diapause, and natural diapause",10.1016/0022-1910(96)00010-8,Chrysoperla carnea,Chrysopidae,Insecta,Arthropoda,Both Sexes,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,more than 5 days,Adults,Yes,constant,yes(mix),TEMP346_2,TEMP346_A,Survival,survival,Female,24,0,0,0,10,10
Good,TEMP378,394,6,4A,"Chi, B. J.et al.",2016,"Temperature-dependent demography of Agriphila aeneociliella (Lepidoptera: Crambidae), a new insect pest of wheat in China",10.1111/afe.12151,Agriphila aeneociliella,Crambidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,TEMP378_2,TEMP378A,Survival,Survival rate,Both sexes,23,-0.131541065,0.024677378,-3,23,20
Good,TEMP384,399,6,4A,"Chiu, M. C.et al.",2019,"Effects of experimental warming on wild and transgenic oriental fruit fly, Bactrocera dorsalis",10.1111/jen.12672,Bactrocera dorsalis,Tephritidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Fluctuating,No,TEMP384_1,TEMP384A,Survival,Survival rate,Both sexes,28,0.720036003,0.02129613,1.4,28.6,30
